id_cliente,pd_score,lgd_pred
C100000,0.023127312981625472,0.4676119017805782
C100001,0.03008690829593142,0.37996356129681474
C100002,0.0070211773572644,0.463804886914598
C100003,0.020980965970305483,0.20620598454567493
C100004,0.12937410542422287,0.37754006606623886
C100005,0.015746322418205057,0.39894416733649535
C100006,0.04062066628139451,0.32811724641353457
C100007,0.06765370140414442,0.21249539750844035
C100008,0.036436462862979864,0.4976046338838046
C100009,0.055755530797072454,0.3413868266318639
C100010,0.0118603029526868,0.36014169894819165
C100011,0.005679474880212595,0.4806734230912103
C100012,0.020193796052531816,0.2774019702275809
C100013,0.01467141978046429,0.6877878509097656
C100014,0.013964317413295938,0.4114294026335631
C100015,0.01775609080211779,0.11648155851042241
C100016,0.06095778268853465,0.42611364002173274
C100017,0.02129935326911735,0.35839629816798474
C100018,0.023026681703420253,0.2665565358937687
C100019,0.06819841725374956,0.38669907390699587
C100020,0.06647958042394327,0.516348464543877
C100021,0.007539555226930121,0.2886857117708673
C100022,0.03505940266708479,0.35403645447630633
C100023,0.050682258869244684,0.3886297536151717
C100024,0.07294455892788176,0.2052400390334285
C100025,0.048052180583336594,0.3921752138262299
C100026,0.035574351944278465,0.38660367805482415
C100027,0.02611781777617036,0.3350291373606912
C100028,0.05122004741252903,0.3146967392093623
C100029,0.09993119037560151,0.41968471571086546
C100030,0.008712965266918426,0.2425805192383172
C100031,0.029672844866234435,0.37147485430699345
C100032,0.05363901873589478,0.3960669144340479
C100033,0.09172056141285875,0.4263146962959947
C100034,0.012933896614786456,0.5171331780362853
C100035,0.020377245607833543,0.46489423818435716
C100036,0.026249531054638304,0.1513689487737398
C100037,0.05751932718002841,0.33916526454332524
C100038,0.025359784770654564,0.37001011722374205
C100039,0.04285455994952452,0.36731819668640403
C100040,0.1105818685130584,0.39249613955446994
C100041,0.07142475548325503,0.3306937324909335
C100042,0.057098324077316555,0.4261193865786989
C100043,0.009136314528017341,0.29358210059809725
C100044,0.049214070324260784,0.4939611853164672
C100045,0.021067274953670497,0.4072989589487989
C100046,0.010499504711267241,0.3996037917300181
C100047,0.08089512000978126,0.3460653419927784
C100048,0.01583553812412614,0.5401332913206784
C100049,0.12445104896034676,0.5051291799362969
C100050,0.07931297408172222,0.33190656406651603
C100051,0.045058976164648025,0.4862489329422685
C100052,0.16958174166033502,0.44017427987233854
C100053,0.027472483103507545,0.4100888767198175
C100054,0.025272051079925476,0.28110085334990514
C100055,0.02152088925763926,0.2735906590867313
C100056,0.04793283709380227,0.4479941231434735
C100057,0.05380340375733736,0.32234707283678316
C100058,0.014413484458370113,0.26811524786117436
C100059,0.029949037992303702,0.6123302080933384
C100060,0.062146843060226775,0.3007474295408502
C100061,0.08743026943600796,0.4454181339074219
C100062,0.019581511949378877,0.5028230718126003
