id_cliente,segmento,region,ingreso_mensual,pd_score,lgd_pred,ead_pred,expected_loss,limite_ref,r_opt,e_opt,z_opt,ingreso_opt,el_opt,cost_opt,utilidad_opt,apr_base,apr_efectiva,ingreso_financiero,costos_operativos,utilidad_neta,project,notebook,piso,escenario,mode,created_utc,pd_score_opt,lgd_pred_opt,ead_pred_opt,limite_ref_opt,pd_score_in,lgd_pred_in,ead_pred_in,limite_ref_in
C00033554,mass,XVI,1112459,0.0933260021038404,0.3091557501114648,426742.11454488273,12312.478788302426,2833839.0,0.45,2833839.0,1275227.6,1083943.46,81762.68848968837,42507.585,959673.1865103116,0.279,0.23715,101201.89246431895,6401.131718173241,82488.28195784328,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0933260021038404,0.3091557501114648,426742.11454488273,2833839.0,0.0933260021038404,0.3091557501114648,426742.11454488273,2833839
C00009428,mass,XV,494696,0.0009698883546631,0.3280330978313104,218349.6086885055,69.46912489432701,1193824.0,0.45,1193824.0,537220.8,456637.68000000005,379.82164958288246,17907.36,438350.4983504172,0.3412,0.29002,63325.75351184037,3275.2441303275828,59981.04025661846,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0009698883546631,0.3280330978313104,218349.6086885055,1193824.0,0.0009698883546631,0.3280330978313104,218349.6086885055,1193824
C00000200,mass,XI,420787,0.0590881613960639,0.3332934588425795,135041.77245803468,2659.471842086504,705780.0,0.45,705780.0,317601.0,269960.85,13899.417954478537,10586.7,245474.73204552144,0.2589,0.220065,29717.967655977405,2025.62658687052,25032.869227020383,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0590881613960639,0.3332934588425795,135041.77245803468,705780.0,0.0590881613960639,0.3332934588425795,135041.77245803468,705780
C00012448,mass_affluent,IV,2123772,0.4819751654569916,0.3201787281574253,758237.4923517454,117009.84156461056,4943318.0,0.1,0.0,1.8869476e-10,1.60390546e-10,0.0,0.0,1.60390546e-10,0.2901,0.246585,186969.9920515552,11373.56238527618,58586.588101668414,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.4819751654569916,0.3201787281574253,758237.4923517454,4943318.0,0.4819751654569916,0.3201787281574253,758237.4923517454,4943318
C00039490,mass,IX,1029863,0.2768245927225968,0.3533511838689067,556744.4544228411,54458.68122012836,3199822.0,0.45,3199822.0,1439919.9,1223931.9149999998,312994.7408992179,47997.33,862939.844100782,0.2536,0.2155599999999999,120011.8345953876,8351.166816342617,57201.98655891664,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.2768245927225968,0.3533511838689067,556744.4544228411,3199822.0,0.2768245927225968,0.3533511838689067,556744.4544228411,3199822
C00042725,mass,RM,629434,0.0008001077724578,0.3218908518747506,213031.355895461,54.86566596418293,1363033.0,0.45,1363033.0,613364.85,521360.1225,351.0455677372494,20445.495,500563.5819322627,0.3447,0.292995,62417.1221205906,3195.4703384319146,59166.7861161945,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0008001077724578,0.3218908518747506,213031.355895461,1363033.0,0.0008001077724578,0.3218908518747506,213031.355895461,1363033
C00010823,mass,XIV,582089,0.119006070622446,0.3450602431784245,176415.64382841415,7244.378513451702,1045772.0,0.45,1045772.0,470597.4,400007.79,42943.85714533328,15686.58,341377.3528546668,0.2802,0.23817,42016.9138906134,2646.234657426212,32126.30071973548,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.119006070622446,0.3450602431784245,176415.64382841415,1045772.0,0.119006070622446,0.3450602431784245,176415.64382841415,1045772
C00049499,mass_affluent,RM,1469747,0.6251935962575803,0.3267406955671316,582910.5522277191,119074.7470144298,3676694.0,0.1,0.0,1.6122219e-10,1.370388615e-10,0.0,0.0,1.370388615e-10,0.2738,0.23273,135660.77281995706,8743.658283415787,7842.36752211147,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.6251935962575803,0.3267406955671316,582910.5522277191,3676694.0,0.6251935962575803,0.3267406955671316,582910.5522277191,3676694
C00004145,mass,XI,1029994,0.0765164473604505,0.3147033206494325,449634.46423249936,10827.1889368883,3530972.0,0.45,3530972.0,1588937.4,1350596.7899999998,85025.73538289522,52964.58,1212606.4746171045,0.2916,0.24786,111446.39830466732,6744.51696348749,93874.69240429152,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0765164473604505,0.3147033206494325,449634.46423249936,3530972.0,0.0765164473604505,0.3147033206494325,449634.46423249936,3530972
C00036959,mass,II,710115,0.0485194230805959,0.3292110577685502,219155.49608971545,3500.599359583521,1315792.0,0.45,1315792.0,592106.4,503290.44,21017.317451438877,19736.88,462536.24254856113,0.2969,0.252365,55307.17677068104,3287.332441345732,48519.24496975179,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0485194230805959,0.3292110577685502,219155.49608971545,1315792.0,0.0485194230805959,0.3292110577685502,219155.49608971545,1315792
C00043107,mass,III,542054,0.0407082816530986,0.3198444517316458,167307.12430046062,2178.3919664531445,1209123.0,0.45,1209123.0,544105.35,462489.5475,15743.165992881,18136.845,428609.536507119,0.2331,0.198135,33149.397073271764,2509.606864506909,28461.39824231171,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0407082816530986,0.3198444517316458,167307.12430046062,1209123.0,0.0407082816530986,0.3198444517316458,167307.12430046062,1209123
C00038696,mass,V,891913,0.0008317409181698,0.3355987965772389,307602.25674329046,85.86140279726433,1874750.0,0.45,1874750.0,843637.5,717091.875,523.3013131906498,28121.25,688447.3236868094,0.3422,0.29087,89472.2684189209,4614.033851149356,84772.37316497427,MVP Tarjetas Chile,02_modelos_riesgo.ipynb,3,BASE_PD12_R45,sample,2025-09-03T05:52:56.730131+00:00,0.0008317409181698,0.3355987965772389,307602.25674329046,1874750.0,0.0008317409181698,0.3355987965772389,307602.25674329046,1874750
