id_cliente,segmento,region,pd_baseline,pd_opt,lgd_baseline,lgd_opt,ead_baseline,ead_opt,EL_baseline,EL_opt
C00033554,mass,XVI,0.07980912819040736,0.0933260021038404,0.32691338175328466,0.3091557501114648,426742.11454488273,2833839.0,11133.988535552848,81762.68848968831
C00009428,mass,XV,0.07980912819040736,0.0009698883546631,0.32691338175328466,0.3280330978313104,218349.6086885055,1193824.0,5696.888019765808,379.82164958284596
C00000200,mass,XI,0.07980912819040736,0.0590881613960639,0.32691338175328466,0.3332934588425795,135041.77245803468,705780.0,3523.3305903543715,13899.417954478522
C00012448,mass_affluent,IV,0.5234736516223224,0.4819751654569916,0.33374103448025355,0.3201787281574253,758237.4923517454,0.0,132467.60663116016,0.0
C00039490,mass,IX,0.07980912819040736,0.2768245927225968,0.32691338175328466,0.3533511838689067,556744.4544228411,3199822.0,14525.83694343713,312994.7408992179
C00042725,mass,RM,0.07980912819040736,0.0008001077724578,0.32691338175328466,0.3218908518747506,213031.355895461,1363033.0,5558.131230574565,351.045567737244
C00010823,mass,XIV,0.07980912819040736,0.119006070622446,0.32691338175328466,0.3450602431784245,176415.64382841415,1045772.0,4602.802697297764,42943.857145333255
C00049499,mass_affluent,RM,0.5234736516223224,0.6251935962575803,0.33374103448025355,0.3267406955671316,582910.5522277191,0.0,101837.17702241118,0.0
C00004145,mass,XI,0.07980912819040736,0.0765164473604505,0.32691338175328466,0.3147033206494325,449634.46423249936,3530972.0,11731.26532236734,85025.73538289512
C00036959,mass,II,0.07980912819040736,0.0485194230805959,0.32691338175328466,0.3292110577685502,219155.49608971545,1315792.0,5717.914163612865,21017.31745143885
C00043107,mass,III,0.07980912819040736,0.0407082816530986,0.32691338175328466,0.3198444517316458,167307.12430046062,1209123.0,4365.155301965688,15743.165992880971
C00038696,mass,V,0.07980912819040736,0.0008317409181698,0.32691338175328466,0.3355987965772389,307602.25674329046,1874750.0,8025.54958453666,523.3013131906357
C00006189,mass_affluent,VII,0.5234736516223224,0.6152693145063053,0.33374103448025355,0.322932772729083,424177.1368801754,0.0,74105.7131531403,0.0
C00001415,mass,V,0.07980912819040736,0.0423750642498307,0.32691338175328466,0.3232746253397772,313263.29539172293,2095868.0,8173.249887044159,28710.84096870234
C00018472,mass_affluent,RM,0.5234736516223224,0.1268901737823193,0.33374103448025355,0.3391639824906752,219064.129951208,1339322.0,38271.5195253259,57639.83395079834
C00029283,mass,XI,0.07980912819040736,0.0309796023035328,0.32691338175328466,0.3089980690574266,410979.73828278313,2724077.0,10722.737546691682,26076.60107636682
C00015178,mass,VII,0.07980912819040736,0.0285122206201284,0.32691338175328466,0.3287220977149177,238946.18125733337,1459610.0,6234.266438808377,13680.33626740897
C00034305,mass_affluent,VIII,0.5234736516223224,0.8304920750784908,0.33374103448025355,0.3272545117801351,899412.0340153517,0.0,157131.4538295173,0.0
C00012610,affluent,VI,0.9060599661898894,0.9922169095313312,0.31915421294398666,0.3298010333203394,729835.8529522769,0.0,211048.71756376038,0.0
C00012145,mass,XII,0.07980912819040736,0.1779566719637145,0.32691338175328466,0.3319626837923967,404732.2899431157,2497841.0,10559.737421277532,147559.89318981348
C00006114,pyme,II,0.8219205734688478,0.7779619321002974,0.3420862301687797,0.3390263792934891,817585.9625795606,0.0,229878.77321590955,0.0
C00015909,mass,VIII,0.07980912819040736,0.1340669252122329,0.32691338175328466,0.3275775836585271,421290.6586617292,2686851.0,10991.756388229314,117999.29357287346
C00000822,mass_affluent,XV,0.5234736516223224,0.7818851390269517,0.33374103448025355,0.33604249871883,547784.9935932743,0.0,95700.57901608513,0.0
C00015119,mass,III,0.07980912819040736,0.1837410288012121,0.32691338175328466,0.3427041921550774,140789.05270762113,790321.0,3673.2809941896003,49765.58145592912
C00013467,mass,XVI,0.07980912819040736,0.0616266828316093,0.32691338175328466,0.3283290266922109,457959.5056125664,2669643.0,11948.471246330399,54017.099398754006
C00026498,pyme,XV,0.8219205734688478,0.8075069715765463,0.3420862301687797,0.3333317234407993,650681.1139227598,0.0,182950.51905171358,0.0
C00042112,mass_affluent,IX,0.5234736516223224,0.3813521032536617,0.33374103448025355,0.346418791794418,542627.5094624987,3120810.0,94799.54261794683,412282.5158583026
C00030189,mass_affluent,VI,0.5234736516223224,0.4815465643110022,0.33374103448025355,0.3369340809688123,446743.4152616871,0.0,78048.14664914134,0.0
C00037238,mass,II,0.07980912819040736,0.0062384101688305,0.32691338175328466,0.3143148998033162,309898.4700957227,2350997.0,8085.45933393749,4609.894320589023
C00033110,mass,XII,0.07980912819040736,0.0532153676353978,0.32691338175328466,0.3257592829641477,265652.3653107647,1489686.0,6931.048727091281,25824.30268973412
C00036481,affluent,RM,0.9060599661898894,0.8427682170246509,0.31915421294398666,0.3205096221950612,823344.7284705223,0.0,238088.94610162236,0.0
C00024149,mass,VIII,0.07980912819040736,0.000585933056865,0.32691338175328466,0.3088760874429789,293321.6548937653,2023601.0,7652.959085839384,366.23274595518944
C00005504,mass_affluent,VII,0.5234736516223224,0.3710356418083284,0.33374103448025355,0.3206047249643369,525003.243656948,3597461.0,91720.50164009756,427938.77889298054
C00003919,mass_affluent,VIII,0.5234736516223224,0.7802372333413329,0.33374103448025355,0.3521426974318693,836735.676455532,0.0,146181.60346989334,0.0
C00038479,pyme,XII,0.8219205734688478,0.807648632329812,0.3420862301687797,0.3249651393695001,526649.0910879968,0.0,148076.7191655415,0.0
C00021124,mass,XIV,0.07980912819040736,0.0083432279387175,0.32691338175328466,0.2955472319412416,213982.30196184988,1547419.0,5582.942052474332,3815.6535041927223
C00049718,mass_affluent,XVI,0.5234736516223224,0.1568684327649386,0.33374103448025355,0.3384158498108255,529754.8450407569,2021050.0,92550.62843985026,107291.00434711263
C00042295,mass,XV,0.07980912819040736,0.0303487051548461,0.32691338175328466,0.322155984579734,279171.2619056691,1830385.0,7283.765823836039,17895.705243020577
C00047610,mass,X,0.07980912819040736,0.0869089376531286,0.32691338175328466,0.3117238884488216,347913.10757541726,2534534.0,9077.286771296267,68664.56100312469
C00011077,mass,XV,0.07980912819040736,0.3218991899069481,0.32691338175328466,0.3867013851661687,581175.144486899,3035834.0,15163.250064424647,377897.16342581005
C00041515,mass,IX,0.07980912819040736,0.0162930396342828,0.32691338175328466,0.3161143000690489,249272.614026242,1533900.0,6503.690009024325,7900.294919580482
C00022063,mass,IV,0.07980912819040736,0.0613572126493457,0.32691338175328466,0.3343968037034285,388477.5719682737,2193997.0,10135.64090628147,45015.67525927217
C00009414,pyme,XV,0.8219205734688478,0.7969299009569348,0.3420862301687797,0.3630385220362734,806257.5226815142,0.0,226693.5817065095,0.0
C00038341,mass,III,0.07980912819040736,0.2400298012999746,0.32691338175328466,0.3473605929145526,526372.352998244,2898790.0,13733.40840747517,241692.1068386351
C00030264,mass,IX,0.07980912819040736,0.0319203407163762,0.32691338175328466,0.3236378415385214,135910.79549360325,957773.0,3546.0039853284547,9894.398650407311
C00041253,mass,II,0.07980912819040736,0.2179889266016607,0.32691338175328466,0.3214451737255457,309999.04964480805,2304297.0,8088.083521961729,161465.52046352313
C00014645,mass,IX,0.07980912819040736,0.0675764277206168,0.32691338175328466,0.3253665227698043,106438.79480660708,791369.0,2777.059682470555,17399.91512374862
C00026336,mass,XIV,0.07980912819040736,0.0399377222162067,0.32691338175328466,0.3104554685059235,162265.71309982677,502130.0,4233.621495955638,6225.851754323344
C00028103,pyme,VIII,0.8219205734688478,0.3881573255166836,0.3420862301687797,0.356421632883489,274073.5488868114,1515047.0,77060.63224256964,209603.21902154715
C00017524,mass,XIV,0.07980912819040736,0.1161523011638142,0.32691338175328466,0.3399956348635169,516787.1733812293,3212380.0,13483.324630107956,126860.98318930126
C00024713,mass,V,0.07980912819040736,0.2126272794405023,0.32691338175328466,0.3586782750479709,295513.0763583512,1733340.0,7710.134744467045,132192.80384953335
C00040486,mass,III,0.07980912819040736,0.0009389362822598,0.32691338175328466,0.3080823911859872,479874.4375309424,3234375.0,12520.246546728962,935.6067991725811
